Course,,Title,ACP,CS,,HUM,NAT,QR,SBS
REL 220,,Jewish Storytelling,,WCC,,LA,,,
REL 236,,"Religion, Violence & America",,WCC,,,,,
REL 251,,Viking Mythology,,WCC,,HP,,,
REL 269,,Jewish History Since 1700,,WCC,,HP,,,
REL 270,,"Religion, Ethics, Environment",,WCC,,HP,,,
REL 320,,Responses to the Holocaust,,WCC,,LA,,,
REL 393,,The World of Jewish Sepharad,,WCC,,HP,,,
RST 242,,Nature and American Culture,,WCC,,,,,
RST 335,,Leisure and Consumer Culture,,WCC,,,,,SS
RUSS 115,,Intro to Russian Culture,,WCC,,LA,,,
RUSS 261,,Intro Russian-Jewish Culture,,WCC,,HP,,,
SAME 211,,The Arab-Israeli Conflict,,WCC,,LA,,,
SAME 212,,Israeli Cinema and Television,,WCC,,LA,,,
SCAN 225,,Vikings to Volvos: Scandinavia,,WCC,,LA,,,
SCAN 251,,Viking Mythology,,WCC,,HP,,,
SCAN 252,,Viking Sagas in Translation,,WCC,,LA,,,
SLAV 120,,Russian & E Euro Folktales,,WCC,,LA,,,
SLCL 200,,Topics in Global Culture,,WCC,,HP,,,
SOC 161,,Introduction to Poverty,,WCC,,,,,SS
SOC 162,,Intro to Intl Health Policy,,WCC,,,,,SS
SOC 201,,"Race, Gender & Power",,WCC,,,,,
SOC 202,,Sexualities,,WCC,,,,,
THEA 110,,Broadway Musicals,,WCC,,LA,,,
THEA 210,,Introduction to Greek and Roman Theater,ACP,WCC,,LA,,,
THEA 323,,The Comic Imagination,ACP,WCC,,LA,,,
UKR 113,,Ukrainian Culture,,WCC,,LA,,,
YDSH 220,,Jewish Storytelling,,WCC,,LA,,,
YDSH 320,,Responses to the Holocaust,,WCC,,LA,,,
